#LB_label,#LA_label,#ID,ChargeTransfer,la_Me,la_nB,nO,la_nHM,la_Ui,la_nHAcc,la_AMW,C-041,AMW,nPyrroles,la_Mv,TPSA(NO),la_nF,nRSR,nCt,nHDon,C-033,nPyridines,C-006,la_nX,la_Ms,H-051,nX,la_MW,la_Mp,la_nAB,nF,C-027,nPyrazines,la_C-026,nCIC,ARR,H-049,nArNH2,nH,RBF,la_F-084,nRCO,nCrt,Total_MW,la_nBM,la_nBnz,la_LAI,la_ARR,la_RBF
8,7,C5H3N3S:BF3,-0.2868,1.3,1,0,0,0.0,3,16.95,0,11.43,0,0.51,38.67,3,0,0,0,0,1,0,3,6.33,0,0,67.81,0.67,0,0,2,0,0,2,1.0,2,0,3,0.0,0,0,0,204.99,0,0,0,0.0,0.0
8,8,C5H3N3S:BCl3,-0.2963,1.16,1,0,0,0.0,0,29.29,0,11.43,0,0.95,38.67,0,0,0,0,0,1,0,3,3.42,0,0,117.16,1.36,0,0,2,0,0,2,1.0,2,0,3,0.0,0,0,0,254.34,0,0,0,0.0,0.0
8,9,C5H3N3S:BBr3,-0.269,1.09,1,0,0,0.0,0,62.63,0,11.43,0,1.24,38.67,0,0,0,0,0,1,0,3,2.4,0,0,250.51,1.73,0,0,2,0,0,2,1.0,2,0,3,0.0,0,0,0,387.69,0,0,0,0.0,0.0
8,10,C5H3N3S:C18BF15,-0.3492,1.2,1,0,0,4.248,15,15.06,0,11.43,0,0.73,38.67,15,0,0,0,0,1,0,15,4.45,0,0,511.99,0.72,18,0,2,0,18,2,1.0,2,0,3,0.0,15,0,0,649.17,18,3,1,0.5,0.083
8,11,C5H3N3S:BI3,-0.19578,0.97,1,0,0,0.0,0,97.88,0,11.43,0,1.49,38.67,0,0,0,0,0,1,0,3,1.92,0,0,391.51,2.71,0,0,2,0,0,2,1.0,2,0,3,0.0,0,0,0,528.69,0,0,0,0.0,0.0
8,12,C5H3N3S:O2S,-0.10498,1.24,0,0,0,1.585,2,21.36,0,11.43,0,0.7,38.67,0,0,0,0,0,1,0,0,5.28,0,0,64.07,0.85,0,0,2,0,0,2,1.0,2,0,3,0.0,0,0,0,201.25,2,0,0,0.0,0.0
9,1,C16H10N2S2:AlCl3,-0.17646,1.1,0,0,1,0.0,0,33.33,0,9.81,0,1.16,25.78,0,0,0,0,2,0,0,3,3.28,0,0,133.33,1.89,0,0,0,1,0,4,0.913,0,0,10,0.061,0,0,0,427.75,0,0,0,0.0,0.0
9,2,C16H10N2S2:AlH3,-0.16576,0.86,0,0,1,0.0,0,7.5,0,9.81,0,0.63,25.78,0,0,0,0,2,0,0,0,2.0,0,0,30.01,1.25,0,0,0,1,0,4,0.913,0,0,10,0.061,0,0,0,324.43,0,0,0,0.0,0.0
9,3,C16H10N2S2:C18F15Al,-0.19932,1.19,0,0,1,4.248,15,15.53,0,9.81,0,0.76,25.78,15,0,0,0,2,0,0,15,4.43,0,0,528.16,0.78,18,0,0,1,15,4,0.913,0,0,10,0.061,15,0,0,822.58,18,3,1,0.5,0.083
9,4,C16H10N2S2:C3H9Al,-0.14592,0.93,0,0,1,0.0,0,5.55,0,9.81,0,0.56,25.78,0,0,0,0,2,0,0,0,1.69,0,0,72.1,0.79,0,0,0,1,0,4,0.913,0,0,10,0.061,0,0,0,366.52,0,0,0,0.0,0.0
9,5,C16H10N2S2:C2H5AlCl2,-0.16122,0.99,0,0,1,0.0,0,12.7,0,9.81,0,0.71,25.78,0,0,0,0,2,0,0,2,2.5,0,0,126.95,1.02,0,0,0,1,0,4,0.913,0,0,10,0.061,0,0,0,421.37,0,0,0,0.0,0.0
