#PDF_File,Minimum_Capacity(mAh),Nomial_Voltage(V),Charge_Voltage(V),Charge_Current(mAh),Dicharge_Voltage(V),Discharge_Current,Cycle,Remaining_Capacity(mAh)
datasheet_18,1670,3.7,4.2,1670,2.75,1670,59.57446809,1487.309645
datasheet_18,1670,3.7,4.2,1670,2.75,1670,65.53191489,1482.233503
datasheet_18,1670,3.7,4.2,1670,2.75,1670,69.78723404,1477.15736
datasheet_18,1670,3.7,4.2,1670,2.75,1670,74.89361702,1472.081218
datasheet_18,1670,3.7,4.2,1670,2.75,1670,80.42553191,1467.005076
datasheet_18,1670,3.7,4.2,1670,2.75,1670,85.95744681,1461.928934
datasheet_18,1670,3.7,4.2,1670,2.75,1670,92.76595745,1456.852792
datasheet_18,1670,3.7,4.2,1670,2.75,1670,100,1451.77665
datasheet_18,1670,3.7,4.2,1670,2.75,1670,110.212766,1446.700508
datasheet_18,1670,3.7,4.2,1670,2.75,1670,119.5744681,1441.624365
datasheet_18,1670,3.7,4.2,1670,2.75,1670,128.5106383,1436.548223
datasheet_18,1670,3.7,4.2,1670,2.75,1670,139.5744681,1431.472081
datasheet_18,1670,3.7,4.2,1670,2.75,1670,150.212766,1426.395939
datasheet_18,1670,3.7,4.2,1670,2.75,1670,162.1276596,1421.319797
datasheet_18,1670,3.7,4.2,1670,2.75,1670,171.0638298,1416.243655
datasheet_18,1670,3.7,4.2,1670,2.75,1670,181.7021277,1411.167513
datasheet_18,1670,3.7,4.2,1670,2.75,1670,191.9148936,1406.091371
datasheet_18,1670,3.7,4.2,1670,2.75,1670,202.1276596,1401.015228
datasheet_18,1670,3.7,4.2,1670,2.75,1670,215.7446809,1395.939086
datasheet_18,1670,3.7,4.2,1670,2.75,1670,228.5106383,1390.862944
datasheet_18,1670,3.7,4.2,1670,2.75,1670,242.1276596,1385.786802
datasheet_18,1670,3.7,4.2,1670,2.75,1670,253.1914894,1380.71066
