#LB_label,#LA_label,#ID,ChargeTransfer,la_nB,nO,AMW,nROCON,la_nHM,nPyrroles,la_Mp,la_nH,nR08,H-047,Total_MW,nH,la_Hy,la_Me,nRNH2,C-024,nCconjX
15,8,C5H5N:BCl3,-0.31622,1,0,7.19,0,0,0,1.36,0,0,3,196.27,5,0.0,1.16,0,3,0
15,9,C5H5N:BBr3,-0.29592,1,0,7.19,0,0,0,1.73,0,0,3,329.62,5,0.0,1.09,0,3,0
15,10,C5H5N:C18BF15,-0.37174,1,0,7.19,0,0,0,0.72,0,0,3,591.1,5,-0.525,1.2,0,3,0
15,11,C5H5N:BI3,-0.25648,1,0,7.19,0,0,0,2.71,0,0,3,470.62,5,0.0,0.97,0,3,0
15,12,C5H5N:O2S,-0.12582,0,0,7.19,0,0,0,0.85,0,0,3,143.18,5,0.0,1.24,0,3,0
16,1,C5H4NF:AlCl3,-0.16624,0,0,8.83,0,1,0,1.89,0,0,3,230.43,4,0.0,1.1,0,3,0
16,2,C5H4NF:AlH3,-0.15344,0,0,8.83,0,1,0,1.25,3,0,3,127.11,4,0.0,0.86,0,3,0
16,3,C5H4NF:C18F15Al,-0.18388,0,0,8.83,0,1,0,0.78,0,0,3,625.26,4,-0.525,1.19,0,3,0
16,4,C5H4NF:C3H9Al,-0.14566,0,0,8.83,0,1,0,0.79,9,0,3,169.2,4,-0.646,0.93,0,3,0
16,5,C5H4NF:C2H5AlCl2,-0.15746,0,0,8.83,0,1,0,1.02,5,0,3,224.05,4,-0.359,0.99,0,3,0
16,6,C5H4NF:BH3,-0.31376,1,0,8.83,0,0,0,0.72,3,0,3,110.94,4,0.0,0.91,0,3,0
16,7,C5H4NF:BF3,-0.27132,1,0,8.83,0,0,0,0.67,0,0,3,164.91,4,0.0,1.3,0,3,0
16,8,C5H4NF:BCl3,-0.31048,1,0,8.83,0,0,0,1.36,0,0,3,214.26,4,0.0,1.16,0,3,0
